event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:altitude,argos:best-level,argos:calcul-freq,argos:error-radius,argos:gdop,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,argos:nopc,argos:orientation,argos:pass-duration,argos:semi-major,argos:semi-minor,argos:sensor-1,argos:sensor-2,argos:sensor-3,argos:sensor-4,argos:valid-location-algorithm,external-temperature,gps:fix-type-raw,gps:satellite-count,gps-time-to-fix,ground-speed,gt:activity-count,gt:sys-week,gt:tx-count,heading,height-above-ellipsoid,import-marked-outlier,location-error-text,lotek:crc-status,lotek:crc-status-text,mortality-status,tag-voltage,vertical-error-numerical,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
31685328036,TRUE,2024-02-14 23:00:16,46.58395,-20.210598,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,829,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31683830060,TRUE,2024-02-14 20:01:04,46.5841789,-20.2114697,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,805,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31683830058,TRUE,2024-02-14 18:01:36,46.5844345,-20.2148991,,,,,,,,,,,,,,,,,,,,,,,,,,2D,,,,,,,,0,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31685328033,TRUE,2024-02-14 18:01:36,46.5844345,-20.2148991,,,,,,,,,,,,,,,,,,,,,,,,,,2D,,,,,,,,0,FALSE,,C,OK(corrected),0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31779787236,TRUE,2024-02-21 17:59:28,46.5854836,-20.306572,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,975,FALSE,,C,OK(corrected),0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31781392018,TRUE,2024-02-21 17:59:28,46.5854836,-20.306572,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,975,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31683006033,TRUE,2024-02-14 17:01:52,46.5948792,-20.2251644,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,33,FALSE,,C,OK(corrected),0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31683830057,TRUE,2024-02-14 17:01:52,46.5948792,-20.2251644,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,33,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31779785847,TRUE,2024-02-21 18:49:29,46.60006,-20.34452,,1121,-121,4.0165570127E8,385,265,58,-20.34452,-20.34452,2,46.60006,46.60006,6,0,3,78,439,1351,109,116,12,60,7,1,,,,,,,,,,,,,,,,,,argos-doppler-shift,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31722074735,TRUE,2024-02-17 06:04:33,46.60332,-20.22848,,782,-120,4.0165553288E8,755,485,58,-20.22848,-20.22848,1,46.60332,46.60332,7,0,2,101,439,5088,112,116,115,63,155,1,,,,,,,,,,,,,,,,,,argos-doppler-shift,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31689862325,TRUE,2024-02-15 00:00:00,46.606041,-20.223526,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,856,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31722074734,TRUE,2024-02-17 14:15:08,46.60852,-20.24144,,837,-125,4.0165558458E8,600,356,58,-20.24144,-20.24144,1,46.60852,46.60852,8,0,2,80,438,3619,99,116,104,162,219,1,,,,,,,,,,,,,,,,,,argos-doppler-shift,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31778615486,TRUE,2024-02-21 16:59:44,46.6106758,-20.2502022,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,883,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31722074730,TRUE,2024-02-17 06:04:19,46.6109,-20.22936,,782,-125,4.0165553559E8,693,188,48,-20.22936,-20.22936,1,46.6109,46.6109,8,0,2,108,503,1606,299,116,90,77,136,1,,,,,,,,,,,,,,,,,,argos-doppler-shift,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
