"sampleid","bat_species","seropos","antigen","age","age_bin"
"KEL476","Eidolon dupreanum",0,"GhV",0.312328767123288,0.8
"KEL477","Eidolon dupreanum",0,"GhV",0.312328767123288,0.8
"KEL477","Eidolon dupreanum",0,"GhV",0.315068493150685,0.8
"KEL478","Eidolon dupreanum",0,"GhV",0.315068493150685,0.8
"KEL478","Eidolon dupreanum",0,"GhV",0.312328767123288,0.8
"KEL479","Eidolon dupreanum",0,"GhV",0.315068493150685,0.8
"KEL479","Eidolon dupreanum",0,"GhV",0.312328767123288,0.8
"KEL480","Eidolon dupreanum",0,"GhV",0.312328767123288,0.8
"KEL480","Eidolon dupreanum",0,"GhV",0.315068493150685,0.8
"KEL484","Eidolon dupreanum",0,"GhV",0.312328767123288,0.8
"KEL484","Eidolon dupreanum",0,"GhV",0.315068493150685,0.8
"KEL485","Eidolon dupreanum",0,"GhV",0.315068493150685,0.8
"WAY009","Eidolon dupreanum",1,"GhV",0.871232876712329,2
"WAY010","Eidolon dupreanum",0,"GhV",0.871232876712329,2
"WAY011","Eidolon dupreanum",1,"GhV",0.871232876712329,2
"WAY015","Eidolon dupreanum",1,"GhV",0.873972602739726,2
"WAY022","Eidolon dupreanum",0,"GhV",0.873972602739726,2
"WAY023","Eidolon dupreanum",1,"GhV",0.873972602739726,2
"WAY032","Eidolon dupreanum",1,"GhV",0.956164383561644,2
"WAY033","Eidolon dupreanum",0,"GhV",0.956164383561644,2
"WAY034","Eidolon dupreanum",1,"GhV",0.956164383561644,2
"WAY035","Eidolon dupreanum",1,"GhV",0.956164383561644,2
"WAY036","Eidolon dupreanum",1,"GhV",0.956164383561644,2
"WAY037","Eidolon dupreanum",1,"GhV",0.956164383561644,2
"WAY038","Eidolon dupreanum",1,"GhV",0.956164383561644,2
"WAY044","Eidolon dupreanum",1,"GhV",0.958904109589041,2
"WAY045","Eidolon dupreanum",1,"GhV",0.958904109589041,2
"WAY046","Eidolon dupreanum",1,"GhV",0.958904109589041,2
"WAY052","Eidolon dupreanum",0,"GhV",0.961643835616438,2
"WAY053","Eidolon dupreanum",1,"GhV",0.961643835616438,2
"WAY072","Eidolon dupreanum",0,"GhV",0.0301369863013699,0.1
"WAY073","Eidolon dupreanum",1,"GhV",0.0301369863013699,0.1
"WAY081","Eidolon dupreanum",0,"GhV",0.0328767123287671,0.1
"WAY083","Eidolon dupreanum",1,"GhV",0.0328767123287671,0.1
