"week","sampleid","bat_species","seropos","antigen","age","age_bin","collection_date","biwk"
15,"KEL188","Eidolon dupreanum",0,"NiV",4,4,2018-04-10,8
17,"KEL119","Eidolon dupreanum",0,"NiV",12,14,2015-04-28,9
17,"ANGB67","Eidolon dupreanum",0,"NiV",3,4,2015-04-27,9
17,"KEL316","Eidolon dupreanum",0,"NiV",1,2,2019-04-23,9
17,"ANGB83","Eidolon dupreanum",0,"NiV",3,4,2015-04-27,9
17,"ANGB81","Eidolon dupreanum",0,"NiV",12,14,2015-04-27,9
17,"ANGB84","Eidolon dupreanum",0,"NiV",2.75,4,2015-04-27,9
17,"KEL317","Eidolon dupreanum",1,"NiV",1,2,2019-04-23,9
17,"ANGB78","Eidolon dupreanum",0,"NiV",0.441095890410959,0.8,2015-04-27,9
17,"ANGB79","Eidolon dupreanum",0,"NiV",1,2,2015-04-27,9
17,"KEL313","Eidolon dupreanum",1,"NiV",8,9,2019-04-23,9
17,"KEL309","Eidolon dupreanum",0,"NiV",6,6,2019-04-23,9
17,"KEL327","Eidolon dupreanum",1,"NiV",0.43013698630137,0.8,2019-04-23,9
17,"ANGB82","Eidolon dupreanum",0,"NiV",9.5,11,2015-04-27,9
17,"ANGB77","Eidolon dupreanum",0,"NiV",1,2,2015-04-27,9
17,"KEL312","Eidolon dupreanum",0,"NiV",1,2,2019-04-23,9
17,"KEL326","Eidolon dupreanum",0,"NiV",2,2,2019-04-23,9
23,"KEL345","Eidolon dupreanum",0,"NiV",9,9,2019-06-06,12
23,"KEL340","Eidolon dupreanum",0,"NiV",1,2,2019-06-05,12
23,"KEL339","Eidolon dupreanum",0,"NiV",1,2,2019-06-05,12
23,"KEL337","Eidolon dupreanum",1,"NiV",4,4,2019-06-05,12
23,"KEL336","Eidolon dupreanum",0,"NiV",6,6,2019-06-05,12
25,"ANGB109","Eidolon dupreanum",0,"NiV",0.597260273972603,0.8,2015-06-23,13
25,"ANGB92","Eidolon dupreanum",0,"NiV",1,2,2015-06-22,13
25,"ANGB93","Eidolon dupreanum",0,"NiV",11,11,2015-06-22,13
25,"ANGB86","Eidolon dupreanum",0,"NiV",10,11,2015-06-22,13
25,"KEL120","Eidolon dupreanum",1,"NiV",6,6,2015-06-24,13
25,"KEL122","Eidolon dupreanum",0,"NiV",3,4,2015-06-24,13
25,"ANGB88","Eidolon dupreanum",0,"NiV",1,2,2015-06-22,13
25,"ANGB85","Eidolon dupreanum",1,"NiV",11,11,2015-06-22,13
25,"KEL125","Eidolon dupreanum",1,"NiV",3,4,2015-06-24,13
25,"ANGB87","Eidolon dupreanum",0,"NiV",0.594520547945205,0.8,2015-06-22,13
25,"KEL126","Eidolon dupreanum",1,"NiV",4,4,2015-06-24,13
25,"ANGB90","Eidolon dupreanum",0,"NiV",3,4,2015-06-22,13
25,"KEL124","Eidolon dupreanum",1,"NiV",6,6,2015-06-24,13
25,"ANGB91","Eidolon dupreanum",0,"NiV",11,11,2015-06-22,13
25,"KEL123","Eidolon dupreanum",0,"NiV",7,9,2015-06-24,13
25,"KEL127","Eidolon dupreanum",1,"NiV",3,4,2015-06-24,13
27,"KEL348","Eidolon dupreanum",0,"NiV",10,11,2019-07-07,14
27,"KEL363","Eidolon dupreanum",0,"NiV",0.635616438356164,0.8,2019-07-07,14
27,"KEL354","Eidolon dupreanum",0,"NiV",1,2,2019-07-07,14
28,"EMA2","Eidolon dupreanum",0,"NiV",1,2,2014-07-13,14
28,"EMA4","Eidolon dupreanum",0,"NiV",0.654794520547945,0.8,2014-07-14,14
28,"EMA6","Eidolon dupreanum",0,"NiV",0.654794520547945,0.8,2014-07-14,14
28,"EMA7","Eidolon dupreanum",0,"NiV",0.654794520547945,0.8,2014-07-14,14
28,"EMA12","Eidolon dupreanum",0,"NiV",6,6,2014-07-14,14
28,"EMA3","Eidolon dupreanum",0,"NiV",1,2,2014-07-13,14
28,"EMA5","Eidolon dupreanum",0,"NiV",0.654794520547945,0.8,2014-07-14,14
28,"EMA1","Eidolon dupreanum",0,"NiV",3,4,2014-07-13,14
30,"KEL219","Eidolon dupreanum",0,"NiV",1,2,2018-07-27,15
30,"KEL217","Eidolon dupreanum",1,"NiV",2,2,2018-07-27,15
30,"KEL222","Eidolon dupreanum",1,"NiV",7,9,2018-07-27,15
30,"KEL213","Eidolon dupreanum",1,"NiV",1,2,2018-07-27,15
30,"KEL221","Eidolon dupreanum",0,"NiV",0.69041095890411,0.8,2018-07-27,15
30,"ANGB147","Eidolon dupreanum",1,"NiV",5,6,2018-07-27,15
30,"KEL228","Eidolon dupreanum",0,"NiV",0.69041095890411,0.8,2018-07-27,15
30,"KEL215","Eidolon dupreanum",0,"NiV",0.69041095890411,0.8,2018-07-27,15
30,"KEL218","Eidolon dupreanum",1,"NiV",2,2,2018-07-27,15
30,"KEL236","Eidolon dupreanum",0,"NiV",0.69041095890411,0.8,2018-07-27,15
30,"ANGB146","Eidolon dupreanum",0,"NiV",0.69041095890411,0.8,2018-07-27,15
30,"ANGB143","Eidolon dupreanum",0,"NiV",3,4,2018-07-27,15
30,"KEL227","Eidolon dupreanum",0,"NiV",4,4,2018-07-27,15
31,"AND1","Eidolon dupreanum",0,"NiV",2,2,2014-08-01,16
31,"AND14","Eidolon dupreanum",0,"NiV",5,6,2014-08-03,16
31,"AND2","Eidolon dupreanum",0,"NiV",2.5,4,2014-08-01,16
31,"AND20","Eidolon dupreanum",0,"NiV",6,6,2014-08-03,16
31,"ATS1","Eidolon dupreanum",0,"NiV",6.5,9,2014-08-01,16
31,"AND3","Eidolon dupreanum",0,"NiV",4,4,2014-08-01,16
32,"AND43","Eidolon dupreanum",1,"NiV",6,6,2019-08-09,16
